Transaction_ID,Date,Customer_ID,Product_ID,Store_ID,Quantity,Product_Name,Product_Category,Unit_Price,Store_City,Store_Region,Total_Amount
T001165,2023-01-01,C0699,P003,S002,4,Headphones,Electronics,100,Los Angeles,West,400
T000992,2023-01-01,C0834,P008,S003,5,Backpack,Accessories,40,Chicago,Central,200
T003581,2023-01-01,C0728,P005,S005,1,Jeans,Clothing,50,Seattle,West,50
T003072,2023-01-01,C0803,P002,S004,3,Smartphone,Electronics,800,Miami,South,2400
T002011,2023-01-01,C0191,P003,S001,4,Headphones,Electronics,100,New York,East,400
T001988,2023-01-01,C0611,P006,S005,4,Sneakers,Footwear,80,Seattle,West,320
T004192,2023-01-01,C0628,P008,S001,2,Backpack,Accessories,40,New York,East,80
T000447,2023-01-01,C0481,P003,S001,5,Headphones,Electronics,100,New York,East,500
T000649,2023-01-01,C0141,P006,S002,5,Sneakers,Footwear,80,Los Angeles,West,400
T003276,2023-01-01,C0215,P008,S005,1,Backpack,Accessories,40,Seattle,West,40
T000756,2023-01-01,C0980,P003,S005,3,Headphones,Electronics,100,Seattle,West,300
T002071,2023-01-01,C0587,P001,S004,4,Laptop,Electronics,1200,Miami,South,4800
T000849,2023-01-01,C0900,P005,S002,2,Jeans,Clothing,50,Los Angeles,West,100
T001029,2023-01-01,C0181,P003,S002,5,Headphones,Electronics,100,Los Angeles,West,500
T000678,2023-01-01,C0171,P008,S001,2,Backpack,Accessories,40,New York,East,80
T004324,2023-01-02,C0479,P008,S003,1,Backpack,Accessories,40,Chicago,Central,40
T001824,2023-01-02,C0214,P005,S001,4,Jeans,Clothing,50,New York,East,200
T004759,2023-01-02,C0540,P007,S002,3,Coffee Maker,Appliances,150,Los Angeles,West,450
T002911,2023-01-02,C0840,P008,S003,3,Backpack,Accessories,40,Chicago,Central,120
T000264,2023-01-02,C0739,P005,S002,3,Jeans,Clothing,50,Los Angeles,West,150
T003153,2023-01-02,C0151,P003,S003,4,Headphones,Electronics,100,Chicago,Central,400
T000207,2023-01-02,C0315,P003,S005,2,Headphones,Electronics,100,Seattle,West,200
T004250,2023-01-02,C0716,P007,S001,3,Coffee Maker,Appliances,150,New York,East,450
T002174,2023-01-02,C0708,P009,S001,5,Watch,Accessories,200,New York,East,1000
T001949,2023-01-02,C0872,P001,S002,3,Laptop,Electronics,1200,Los Angeles,West,3600
T000064,2023-01-02,C0089,P002,S001,4,Smartphone,Electronics,800,New York,East,3200
T003331,2023-01-02,C0059,P004,S004,3,T-shirt,Clothing,25,Miami,South,75
T001290,2023-01-02,C0653,P010,S004,4,Tablet,Electronics,500,Miami,South,2000
T001865,2023-01-03,C0340,P007,S005,2,Coffee Maker,Appliances,150,Seattle,West,300
T003931,2023-01-03,C0837,P008,S005,2,Backpack,Accessories,40,Seattle,West,80
T004490,2023-01-03,C0286,P010,S004,2,Tablet,Electronics,500,Miami,South,1000
T002125,2023-01-03,C0921,P007,S003,4,Coffee Maker,Appliances,150,Chicago,Central,600
T000896,2023-01-03,C0124,P010,S004,5,Tablet,Electronics,500,Miami,South,2500
T001578,2023-01-03,C0955,P008,S001,3,Backpack,Accessories,40,New York,East,120
T004688,2023-01-03,C0091,P002,S001,5,Smartphone,Electronics,800,New York,East,4000
T004846,2023-01-03,C0697,P006,S001,1,Sneakers,Footwear,80,New York,East,80
T002678,2023-01-03,C0889,P008,S003,5,Backpack,Accessories,40,Chicago,Central,200
T004132,2023-01-03,C0216,P002,S002,4,Smartphone,Electronics,800,Los Angeles,West,3200
T002732,2023-01-03,C0948,P002,S001,3,Smartphone,Electronics,800,New York,East,2400
T003770,2023-01-03,C0486,P008,S001,1,Backpack,Accessories,40,New York,East,40
T001519,2023-01-03,C0253,P008,S002,2,Backpack,Accessories,40,Los Angeles,West,80
T004206,2023-01-03,C0922,P008,S002,2,Backpack,Accessories,40,Los Angeles,West,80
T002658,2023-01-03,C0074,P003,S002,3,Headphones,Electronics,100,Los Angeles,West,300
T002322,2023-01-03,C0488,P008,S003,4,Backpack,Accessories,40,Chicago,Central,160
T001487,2023-01-04,C0413,P001,S003,1,Laptop,Electronics,1200,Chicago,Central,1200
T000969,2023-01-04,C0300,P008,S004,3,Backpack,Accessories,40,Miami,South,120
T002729,2023-01-04,C0247,P003,S001,2,Headphones,Electronics,100,New York,East,200
T001329,2023-01-04,C0411,P006,S004,4,Sneakers,Footwear,80,Miami,South,320
T000949,2023-01-04,C0116,P002,S003,3,Smartphone,Electronics,800,Chicago,Central,2400
T001912,2023-01-04,C0146,P009,S003,4,Watch,Accessories,200,Chicago,Central,800
T000326,2023-01-04,C0273,P010,S002,1,Tablet,Electronics,500,Los Angeles,West,500
T004105,2023-01-04,C0502,P006,S005,2,Sneakers,Footwear,80,Seattle,West,160
T001724,2023-01-04,C0232,P001,S004,2,Laptop,Electronics,1200,Miami,South,2400
T003078,2023-01-04,C0766,P002,S001,3,Smartphone,Electronics,800,New York,East,2400
T000497,2023-01-04,C0056,P009,S005,4,Watch,Accessories,200,Seattle,West,800
T003867,2023-01-04,C0946,P006,S001,3,Sneakers,Footwear,80,New York,East,240
T002282,2023-01-05,C0974,P005,S001,1,Jeans,Clothing,50,New York,East,50
T000416,2023-01-05,C0693,P005,S002,4,Jeans,Clothing,50,Los Angeles,West,200
T003908,2023-01-05,C0479,P008,S005,1,Backpack,Accessories,40,Seattle,West,40
T004798,2023-01-05,C0377,P002,S002,2,Smartphone,Electronics,800,Los Angeles,West,1600
T002910,2023-01-05,C0422,P008,S002,1,Backpack,Accessories,40,Los Angeles,West,40
T002331,2023-01-05,C0342,P005,S005,5,Jeans,Clothing,50,Seattle,West,250
T000843,2023-01-05,C0239,P002,S005,3,Smartphone,Electronics,800,Seattle,West,2400
T001562,2023-01-05,C0692,P010,S003,2,Tablet,Electronics,500,Chicago,Central,1000
T001045,2023-01-05,C0195,P009,S003,2,Watch,Accessories,200,Chicago,Central,400
T002052,2023-01-05,C0434,P005,S001,4,Jeans,Clothing,50,New York,East,200
T000614,2023-01-05,C0526,P010,S004,2,Tablet,Electronics,500,Miami,South,1000
T001092,2023-01-05,C0012,P004,S003,4,T-shirt,Clothing,25,Chicago,Central,100
T000721,2023-01-05,C0618,P008,S002,3,Backpack,Accessories,40,Los Angeles,West,120
T000129,2023-01-05,C0187,P008,S005,5,Backpack,Accessories,40,Seattle,West,200
T002432,2023-01-05,C0065,P006,S004,3,Sneakers,Footwear,80,Miami,South,240
T004271,2023-01-05,C0188,P005,S002,1,Jeans,Clothing,50,Los Angeles,West,50
T003495,2023-01-05,C0025,P009,S001,4,Watch,Accessories,200,New York,East,800
T003478,2023-01-05,C0262,P006,S004,2,Sneakers,Footwear,80,Miami,South,160
T004664,2023-01-06,C0742,P008,S005,1,Backpack,Accessories,40,Seattle,West,40
